FOG	HOG	Protein ID	sce Locus	Features	Protein description	Parent	Neofunc, Subfunct	References	Source	Suggested Analysis	SGD Description	PomBase Description	AspGD Description
FOG03246	HOG01203	BSC5	BSC5								Protein of unknown function; shows homology with N-terminal end of Bul1p; ORF exhibits genomic organization compatible with a translational readthrough-dependent mode of expression; readthrough expression includes YNR068C and the locus for this readthrough is termed BUL3; Bul3p is involved in ubiquitin-mediated sorting of plasma membrane proteins; readthrough and shortened forms of Bul3p interact with Rsp5p differently in vitro		
FOG03249	HOG01203												Ortholog of A. nidulans FGSC A4 : AN5453/artG, A. fumigatus Af293 : Afu6g13380, A. oryzae RIB40 : AO090003000465, Aspergillus wentii : Aspwe1_0047105 and Aspergillus sydowii : Aspsy1_0044061
FOG03252	HOG01203								added via ODB8		Putative protein of unknown function; exhibits homology to C-terminal end of Bul1p; expressed as a readthrough product of BSC5, the readthrough locus being termed BUL3; the BUL3 readthrough product is involved in ubiquitin-mediated sorting of plasma membrane proteins and interacts with WW domains of Rsp5p in vitro, but in a functionally different way than the non-readthrough form		
FOG03254	HOG01203								added via ODB8				Ortholog of Aspergillus tubingensis : Asptu1_0076679, Aspergillus brasiliensis : Aspbr1_0113784, Aspergillus kawachii : Aspka1_0176143 and Aspergillus acidus : Aspfo1_0126479|Ortholog of A. oryzae RIB40 : AO090038000101, Aspergillus tubingensis : Asptu1_0079832, Aspergillus brasiliensis : Aspbr1_0128603 and Aspergillus kawachii : Aspka1_0182791
FOG03256	HOG01204	DAS1	DAS1								Putative SCF ubiquitin ligase F-box protein; interacts physically with both Cdc53p and Skp1 and genetically with CDC34; similar to putative F-box protein YDR131C		
FOG03267	HOG01204								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN7956, A. oryzae RIB40 : AO090003001185, Aspergillus versicolor : Aspve1_0032367, Aspve1_0154138, Aspve1_0874742 and Aspergillus niger ATCC 1015 : 39279-mRNA
FOG03268	HOG01204								added via ODB8				Ortholog of Aspergillus wentii : Aspwe1_0171720, Aspergillus niger ATCC 1015 : 35476-mRNA, Aspergillus terreus NIH2624 : ATET_05253 and Aspergillus carbonarius ITEM 5010 : Acar5010_515847
FOG03269	HOG01205	SKN7	SKN7								Nuclear response regulator and transcription factor; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; part of a branched two-component signaling system; required for optimal induction of heat-shock genes in response to oxidative stress; involved in osmoregulation; relocalizes to the cytosol in response to hypoxia; SKN7 has a paralog, HMS2, that arose from the whole genome duplication	transcription factor Prr1	Ortholog(s) have phosphorelay response regulator activity, sequence-specific DNA binding, transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding activity
FOG03270	HOG01205	HSF1	HSF1								Trimeric heat shock transcription factor; activates multiple genes in response to highly diverse stresses, including hyperthermia; recognizes variable heat shock elements (HSEs) consisting of inverted NGAAN repeats; monitors translational status of cell at the ribosome through an RQC (Ribosomal Quality Control)-mediated translation-stress signal; involved in diauxic shift; posttranslationally regulated	transcription factor Hsf1	
FOG03271	HOG01205	SFL1	SFL1								Transcriptional repressor and activator; involved in repression of flocculation-related genes, and activation of stress responsive genes; negatively regulated by cAMP-dependent protein kinase A subunit Tpk2p; premature stop codon (C1430T, Q477-stop) in SK1 background is linked to the aggressively invasive phenotype of SK1 relative to BY4741 (S288C)		Ortholog(s) have role in conidium formation, response to heat
FOG03272	HOG01205	MGA1	MGA1								Protein similar to heat shock transcription factor; multicopy suppressor of pseudohyphal growth defects of ammonium permease mutants		
FOG03273	HOG01205												Has domain(s) with predicted sequence-specific DNA binding, transcription factor activity, sequence-specific DNA binding activity, role in regulation of transcription, DNA-templated and nucleus localization
FOG03276	HOG01206	SNT1	SNT1						added via ODB8		Subunit of the Set3C deacetylase complex; interacts directly with the Set3C subunit, Sif2p; putative DNA-binding protein; mutant has increased aneuploidy tolerance; relocalizes to the cytosol in response to hypoxia	Set3 complex subunit Snt1	Has domain(s) with predicted DNA binding, chromatin binding activity
FOG03277	HOG01207	MVP1	MVP1								"Protein required for sorting proteins to the vacuole; Mvp1p and Vps1p act in concert to promote membrane traffic to the vacuole; participates in transcription initiation and/or early elongation of specific genes; interacts with ""foot domain"" of RNA polymerase II; deletion results in abnormal CTD-Ser5 phosphorylation of RNA polymerase II at specific promoter regions; protein abundance increases in response to DNA replication stress"	sorting nexin Mvp1 (predicted)	Ortholog(s) have Golgi apparatus, fungal-type vacuole membrane localization
FOG03278	HOG01207	SNX3	SNX3								Sorting nexin for late-Golgi enzymes; required to maintain late-Golgi resident enzymes in their proper location by recycling molecules from the prevacuolar compartment; contains a PX domain and sequence similarity to human Snx3p	sorting nexin Snx3 (predicted)	Ortholog(s) have phosphatidylinositol-3-phosphate binding activity, role in late endosome to Golgi transport, protein localization and cytosol, endosome, nucleus localization
FOG03279	HOG01207	SNX4	SNX4								Sorting nexin; involved in retrieval of late-Golgi SNAREs from post-Golgi endosomes to the trans-Golgi network and in cytoplasm to vacuole transport; contains a PX phosphoinositide-binding domain; forms complexes with Snx41p and with Atg20p	autophagy associated protein Atg24 (predicted)	Sorting nexin; predicted role in autophagy
FOG03280	HOG01207												Has domain(s) with predicted phosphatidylinositol binding activity and role in cell communication
FOG03282	HOG01207								added via ODB8			autophagy associated protein (predicted)	
FOG03283	HOG01208	STB3	STB3						|added via ODB8		Ribosomal RNA processing element (RRPE)-binding protein; involved in the glucose-induced transition from quiescence to growth; restricted to nucleus in quiescent cells, released into cytoplasm after glucose repletion; binds Sin3p; relative distribution to the nucleus increases upon DNA replication stress	ribosomal RNA processing element (RRPE)-binding protein (predicted)	Ortholog(s) have cytosol localization
FOG03284	HOG01209		SLM1;SLM2								Phosphoinositide PI4,5P(2) binding protein, forms a complex with Slm2p; acts downstream of Mss4p in a pathway regulating actin cytoskeleton organization in response to stress; phosphorylated by the TORC2 complex; protein abundance increases in response to DNA replication stress; SLM1 has a paralog, SLM2, that arose from the whole genome duplication|Phosphoinositide PI4,5P(2) binding protein, forms a complex with Slm1p; acts downstream of Mss4p in a pathway regulating actin cytoskeleton organization in response to stress; phosphorylated by the TORC2 complex; SLM2 has a paralog, SLM1, that arose from the whole genome duplication		Ortholog(s) have phosphatidylinositol-4,5-bisphosphate binding, sphingolipid binding activity
FOG03285	HOG01209											cytoskeletal signaling protein Slm1 (predicted)	Ortholog(s) have cell cortex of cell tip localization
FOG03286	HOG01209		ASK10;RGC1								Component of RNA polymerase II holoenzyme; phosphorylated in response to oxidative stress; has a role in destruction of Ssn8p; proposed to function in activation of the glycerol channel Fps1p; ASK10 has a paralog, RGC1, that arose from the whole genome duplication|Pleckstrin homology domain containing protein; proposed to function as a glycerol channel activator; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; RGC1 has a paralog, ASK10, that arose from the whole genome duplication		
FOG03290	HOG01210	CHA4	CHA4								DNA binding transcriptional activator; mediates serine/threonine activation of the catabolic L-serine (L-threonine) deaminase (CHA1); Zinc-finger protein with Zn[2]-Cys[6] fungal-type binuclear cluster domain	transcription factor (predicted)|zn(2)-C6 fungal-type DNA-binding transcription factor, truncated	Has domain(s) with predicted DNA binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity and role in regulation of transcription, DNA-templated, transcription, DNA-templated|Has domain(s) with predicted DNA binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity and role in regulation of transcription, DNA-templated, transcription, DNA-templated
FOG03291	HOG01210	EUF1			Erythritol Utilization Factor			pubmed:28970528					Has domain(s) with predicted DNA binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity and role in regulation of transcription, DNA-templated, transcription, DNA-templated
FOG03292	HOG01210												Ortholog(s) have protein domain specific binding, transcription regulatory region DNA binding activity
FOG03293	HOG01210											transcription factor Cha4 (predicted)	Has domain(s) with predicted DNA binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity and role in regulation of transcription, DNA-templated, transcription, DNA-templated
FOG03294	HOG01210												Has domain(s) with predicted DNA binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity and role in regulation of transcription, DNA-templated, transcription, DNA-templated|Has domain(s) with predicted DNA binding, zinc ion binding activity, role in transcription, DNA-templated and nucleus localization
FOG03296	HOG01210								added via ODB8				Has domain(s) with predicted DNA binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity and role in regulation of transcription, DNA-templated, transcription, DNA-templated|Ortholog(s) have role in negative regulation of transcription from RNA polymerase II promoter, regulation of nitrogen utilization and nucleus localization
FOG03298	HOG01211	MAG2	MAG2								Cytoplasmic protein of unknown function; induced in response to mycotoxin patulin; ubiquitinated protein similar to the human ring finger motif protein RNF10; predicted to be involved in repair of alkylated DNA due to interaction with MAG1	ubiquitin-protein ligase E3 implicated in transcription (predicted)	Ortholog(s) have cytosol, nucleus localization
FOG03301	HOG01211	SLX8	SLX8								Subunit of Slx5-Slx8 SUMO-targeted ubiquitin ligase (STUbL) complex; stimulated by prior attachment of SUMO to the substrate; contains a C-terminal RING domain; forms nuclear foci upon DNA replication stress; null mutants are aneuploid, have a metaphase delay, and spindle defects including: mispositioned spindles, fish hook spindles, and aberrant spindle kinetics; required for maintenance of genome integrity like human ortholog RNF4		
FOG03304	HOG01212		TY3B-G;TY3A-I;TY3B-I;TY3A-G								Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes||Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes|Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag	retrotransposable element/transposon Tf2-type	Has domain(s) with predicted RNA binding, RNA-directed DNA polymerase activity and role in RNA-dependent DNA replication
FOG03305	HOG01212											L-azetidine-2-carboxylic acid acetyltransferase Aca1	Ortholog(s) have azetidine-2-carboxylic acid acetyltransferase activity and cytosol, nucleus localization
FOG03306	HOG01212	SPT10	SPT10								Putative histone acetylase with a role in transcriptional silencing; sequence-specific activator of histone genes, binds specifically and cooperatively to pairs of UAS elements in core histone promoters, functions at or near the TATA box		Ortholog(s) have sequence-specific DNA binding activity
FOG03308	HOG01212												Has domain(s) with predicted RNA binding, RNA-directed DNA polymerase activity and role in RNA-dependent DNA replication
FOG03311	HOG01212								added via ODB8				Protein of unknown function|Protein of unknown function
FOG03314	HOG01213												Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity and role in oxidation-reduction process
FOG03315	HOG01213												Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity and role in oxidation-reduction process|Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity and role in oxidation-reduction process
FOG03316	HOG01213												3-hydroxybenzoate 4-hydroxylase; benzoate 4-monooxygenase
FOG03317	HOG01213												Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity and role in oxidation-reduction process|Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity and role in oxidation-reduction process
FOG03318	HOG01213												Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity and role in oxidation-reduction process
FOG03319	HOG01213								added via ODB8				Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, monooxygenase activity, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity|Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity and role in oxidation-reduction process|Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity and role in oxidation-reduction process|Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity and role in oxidation-reduction process|Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity and role in oxidation-reduction process|Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity and role in oxidation-reduction process|Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity and role in oxidation-reduction process|Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity and role in oxidation-reduction process
FOG03322	HOG01214										Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole and is induced in response to the DNA-damaging agent MMS; gene expression increases in response to Zymoliase treatment		
FOG03324	HOG01214												Ortholog(s) have cytosol, nucleus localization
FOG03325	HOG01214								added via ODB8			FAS1 domain protein Mug57	Protein of unknown function
FOG03328	HOG01215												Ortholog of A. nidulans FGSC A4 : AN2978, A. fumigatus Af293 : Afu3g08440, Aspergillus wentii : Aspwe1_0552062, Aspergillus sydowii : Aspsy1_0087327 and Aspergillus terreus NIH2624 : ATET_01626
FOG03331	HOG01215								added via ODB8				Ortholog of A. nidulans FGSC A4 : AN0365, A. fumigatus Af293 : Afu1g01950, A. oryzae RIB40 : AO090005000900, Aspergillus wentii : Aspwe1_0049744 and Aspergillus sydowii : Aspsy1_0040934|Ortholog of A. nidulans FGSC A4 : AN1952, A. fumigatus Af293 : Afu4g13380, Aspergillus wentii : Aspwe1_0022581, Aspergillus sydowii : Aspsy1_0142528 and Aspergillus terreus NIH2624 : ATET_03221
FOG03332	HOG01216		HRB1;GBP2								Poly(A+) RNA-binding protein; key surveillance factor for the selective export of spliced mRNAs from the nucleus to the cytoplasm; preference for intron-containing genes; similar to Npl3p; HRB1 has a paralog, GBP2, that arose from the whole genome duplication|Poly(A+) RNA-binding protein; key surveillance factor for the selective export of spliced mRNAs from the nucleus to the cytoplasm; preference for intron-containing genes; similar to Npl3p; also binds single-stranded telomeric repeat sequence in vitro; relocalizes to the cytosol in response to hypoxia; GBP2 has a paralog, HRB1, that arose from the whole genome duplication	RNA-binding protein involved in export of mRNAs (predicted)	Ortholog(s) have role in positive regulation of mitotic cell cycle and cytosol, nucleus localization
FOG03333	HOG01216	NSR1	NSR1								Nucleolar protein that binds nuclear localization sequences; required for pre-rRNA processing and ribosome biogenesis	nucleolar protein required for rRNA processing	Putative RNA-binding protein
FOG03334	HOG01216	PRP24	PRP24								Splicing factor that reanneals snRNPs during spliceosome recycling; reanneals U4 and U6 snRNPs	RNA-binding protein Prp24	Ortholog(s) have nucleus localization
FOG03335	HOG01216											RNA-binding protein Rsd1 (predicted)	Ortholog(s) have U1 snRNP binding activity, role in ascospore formation, sporocarp development involved in sexual reproduction and nucleus localization
FOG03336	HOG01216												Has domain(s) with predicted nucleic acid binding, nucleotide binding activity
FOG03338	HOG01217	HAP5	HAP5								Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex; complex is heme-activated and glucose repressed; complex is a transcriptional activator and global regulator of respiratory gene expression; required for assembly and DNA binding activity of the complex	CCAAT-binding factor complex subunit Php5	
FOG03339	HOG01217	BUR6	BUR6								Subunit of a heterodimeric NC2 transcription regulator complex; complex binds to TBP and can repress transcription by preventing preinitiation complex assembly or stimulate activated transcription; homologous to human NC2alpha; complex also includes Ncb2p	DNA polymerase epsilon interactor Dpb3-like	Has domain(s) with predicted protein heterodimerization activity, sequence-specific DNA binding activity and intracellular localization
FOG03341	HOG01217												Has domain(s) with predicted protein heterodimerization activity, sequence-specific DNA binding activity and intracellular localization
FOG03342	HOG01217	DLS1	DLS1								Subunit of ISW2/yCHRAC chromatin accessibility complex; ISW2/yCHRAC also includes Itc1p, Isw2p, and Dpb4p; involved in inheritance of telomeric silencing; DLS1 has a paralog, DPB3, that arose from the whole genome duplication		
FOG03343	HOG01217	DPB3	DPB3						added via ODB8		Third-largest subunit of DNA polymerase II (DNA polymerase epsilon); required to maintain fidelity of chromosomal replication and also for inheritance of telomeric silencing; stabilizes the interaction of Pol epsilon with primer-template DNA, positively affecting the processivity of the polymerase and exonuclease activities of Pol epsilon; mRNA abundance peaks at the G1/S boundary of the cell cycle; DPB3 has a paralog, DLS1, that arose from the whole genome duplication	DNA polymerase epsilon Dpb3 (predicted)	
FOG03344	HOG01218		;								Putative protein of unknown function; GFP-fusion protein localizes to the cytoplasm; overexpression causes cell cycle delay or arrest; contains a PH domain and binds phosphatidylinositols and other lipids in a large-scale study; YHR131C has a paralog, YNL144C, that arose from the whole genome duplication|Putative protein of unknown function; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; contains a PH domain and binds phosphatidylinositols and phosphatidylethanolamine in a large-scale study; YNL144C has a paralog, YHR131C, that arose from the whole genome duplication		
FOG03350	HOG01219	MCM5	MCM5								Component of the Mcm2-7 hexameric helicase complex; MCM complex is important for priming origins of DNA replication in G1 and becomes an active ATP-dependent helicase that promotes DNA melting and elongation when activated by Cdc7p-Dbf4p in S-phase	MCM complex subunit Mcm5	Ortholog(s) have role in negative regulation of helicase activity and MCM complex, cytosol, nucleus localization
FOG03351	HOG01219	MCM2	MCM2								Protein involved in DNA replication; component of the Mcm2-7 hexameric helicase complex that binds chromatin as a part of the pre-replicative complex; relative distribution to the nucleus increases upon DNA replication stress	MCM complex subunit Mcm2	Ortholog(s) have DNA replication origin binding, chromatin binding, single-stranded DNA binding, single-stranded DNA-dependent ATP-dependent DNA helicase activity
FOG03352	HOG01219	MCM6	MCM6								Protein involved in DNA replication; component of the Mcm2-7 hexameric helicase complex that binds chromatin as a part of the pre-replicative complex; forms a subcomplex with Mcm4p and Mcm7p	MCM complex subunit Mcm6	Ortholog(s) have ATP-dependent 3'-5' DNA helicase activity, ATP-dependent four-way junction helicase activity, DNA replication origin binding and single-stranded DNA binding, more
FOG03353	HOG01219	MCM4	MCM4								Essential helicase component of heterohexameric MCM2-7 complexes; MCM2-7 complexes bind pre-replication complexes on DNA and melt DNA prior to replication; forms an Mcm4p-6p-7p subcomplex; shows nuclear accumulation in G1; homolog of S. pombe Cdc21p	MCM complex subunit Mcm4/Cdc21	Ortholog(s) have ATP-dependent 3'-5' DNA helicase activity, ATP-dependent four-way junction helicase activity, DNA replication origin binding, chromatin binding and single-stranded DNA binding, more
FOG03354	HOG01219	MCM7	MCM7								Component of the Mcm2-7 hexameric helicase complex; MCM2-7 primes origins of DNA replication in G1 and becomes an active ATP-dependent helicase that promotes DNA melting and elongation in S-phase; forms an Mcm4p-6p-7p subcomplex	MCM complex subunit Mcm7	Ortholog(s) have ATP-dependent 3'-5' DNA helicase activity, single-stranded DNA binding, single-stranded DNA-dependent ATP-dependent DNA helicase activity and MCM complex, MCM core complex, nuclear chromatin localization
FOG03355	HOG01219	MCM3	MCM3								Protein involved in DNA replication; component of the Mcm2-7 hexameric helicase complex that binds chromatin as a part of the pre-replicative complex	MCM complex subunit Mcm3	Ortholog(s) have role in negative regulation of helicase activity and MCM complex, cytosol, nuclear chromatin localization
FOG03356	HOG01220		GZF3;DAL80								GATA zinc finger protein; negatively regulates nitrogen catabolic gene expression by competing with Gat1p for GATA site binding; function requires a repressive carbon source; dimerizes with Dal80p and binds to Tor1p; GZF3 has a paralog, DAL80, that arose from the whole genome duplication|Negative regulator of genes in multiple nitrogen degradation pathways; expression is regulated by nitrogen levels and by Gln3p; member of the GATA-binding family, forms homodimers and heterodimers with Gzf3p; DAL80 has a paralog, GZF3, that arose from the whole genome duplication		Ortholog(s) have sequence-specific DNA binding activity and role in sporocarp development involved in sexual reproduction
FOG03357	HOG01220	GAT1	GAT1								Transcriptional activator of nitrogen catabolite repression genes; contains a GATA-1-type zinc finger DNA-binding motif; activity and localization regulated by nitrogen limitation and Ure2p; different translational starts produce two major and two minor isoforms that are differentially regulated and localized	transcription factor Gaf1	Sequence-specific DNA binding transcription regulator; wide domain regulatory gene that controls nitrogen utilization; Northern blot indicates multiple transcripts
FOG03358	HOG01220											iron-sensing transcription factor Fep1|transcription factor, zf-GATA type (predicted)	Ortholog(s) have sequence-specific DNA binding activity and role in cellular iron ion homeostasis, negative regulation of iron ion transport, siderophore biosynthetic process
FOG03359	HOG01220	GLN3	GLN3								Transcriptional activator of genes regulated by nitrogen catabolite repression; localization and activity regulated by quality of nitrogen source and Ure2p		
FOG03364	HOG01221												Has domain(s) with predicted zinc ion binding activity
FOG03366	HOG01221	RPN4	RPN4								Transcription factor that stimulates expression of proteasome genes; Rpn4p levels are in turn regulated by the 26S proteasome in a negative feedback control mechanism; RPN4 is transcriptionally regulated by various stress responses; relative distribution to the nucleus increases upon DNA replication stress		
FOG03367	HOG01221								added via ODB8			transcription factor Rsv2	
FOG03368	HOG01222	NDT80	NDT80								Meiosis-specific transcription factor; required for exit from pachytene and for full meiotic recombination; activates middle sporulation genes; competes with Sum1p for binding to promoters containing middle sporulation elements (MSE) 		
FOG03369	HOG01222												Has domain(s) with predicted DNA binding, transcription factor activity, sequence-specific DNA binding activity and role in regulation of transcription, DNA-templated
FOG03370	HOG01222												Putative transcription factor
FOG03373	HOG01222								added via ODB8				Has domain(s) with predicted DNA binding, transcription factor activity, sequence-specific DNA binding activity and role in regulation of transcription, DNA-templated
FOG03374	HOG01223												Ortholog(s) have catalytic activity and role in steroid metabolic process|Ortholog(s) have catalytic activity and role in steroid metabolic process
FOG03375	HOG01223												Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, monooxygenase activity, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity
FOG03376	HOG01223												Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, monooxygenase activity, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity|Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, monooxygenase activity, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity
FOG03377	HOG01223												Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, monooxygenase activity, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity|Ortholog(s) have catalytic activity and role in steroid metabolic process
FOG03378	HOG01223												Ortholog(s) have catalytic activity and role in steroid metabolic process
FOG03380	HOG01223								added via ODB8				Has domain(s) with predicted electron carrier activity, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen activity and role in oxidation-reduction process
FOG03381	HOG01224										Putative protein of unknown function; originally identified based on homology to <i>Ashbya gossypii</i> and other related yeasts		
FOG03382	HOG01224												Ortholog(s) have cytosol localization
FOG03386	HOG01224								added via ODB8		Putative protein of unknown function; identified by homology; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm	DUF1748 family protein	
FOG03387	HOG01225	YKT6	YKT6								Vesicle membrane protein (v-SNARE) with acyltransferase activity; involved in trafficking to and within the Golgi, endocytic trafficking to the vacuole, and vacuolar fusion; membrane localization due to prenylation at the carboxy-terminus	SNARE Ykt6 (predicted)	Ortholog(s) have SNAP receptor activity, palmitoyltransferase activity
FOG03388	HOG01225	SEC22	SEC22								R-SNARE protein; assembles into SNARE complex with Bet1p, Bos1p and Sed5p; cycles between the ER and Golgi complex; involved in anterograde and retrograde transport between the ER and Golgi; synaptobrevin homolog	SNARE Sec22 (predicted)	Ortholog(s) have SNAP receptor activity and role in ER to Golgi vesicle-mediated transport, retrograde vesicle-mediated transport, Golgi to ER, vesicle fusion with Golgi apparatus
FOG03389	HOG01225		SNC2;SNC1								Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; Snc2p levels regulated by Vps45p; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC2 has a paralog, SNC1, that arose from the whole genome duplication|Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication	SNAP receptor, synaptobrevin family	Predicted vesicular SNARE, involved in vesicular transport
FOG03391	HOG01225												Ortholog(s) have cell septum, fungal-type vacuole, late endosome, plasma membrane localization
FOG03392	HOG01225	NYV1	NYV1								v-SNARE component of the vacuolar SNARE complex; involved in vesicle fusion; inhibits ATP-dependent Ca(2+) transport activity of Pmc1p in the vacuolar membrane		
FOG03393	HOG01226											transcription factor, zf-fungal binuclear cluster type Mca1 (predicted)	Has domain(s) with predicted DNA binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding activity and role in regulation of transcription, DNA-templated, transcription, DNA-templated
FOG03394	HOG01226											transcription factor, zf-fungal binuclear cluster type (predicted)	Ortholog(s) have role in conidiophore development, hyphal growth and cytoplasm, nucleus localization
FOG03395	HOG01226												Has domain(s) with predicted DNA binding, zinc ion binding activity, role in transcription, DNA-templated and nucleus localization
FOG03396	HOG01226												Has domain(s) with predicted DNA binding, zinc ion binding activity, role in transcription, DNA-templated and nucleus localization
FOG03398	HOG01226								added via ODB8			transcription factor, zf-fungal binuclear cluster type (predicted)	
FOG03399	HOG01227	CCT2	CCT2								Subunit beta of the cytosolic chaperonin Cct ring complex; related to Tcp1p, required for the assembly of actin and tubulins in vivo	chaperonin-containing T-complex beta subunit Cct2	Ortholog(s) have unfolded protein binding activity, role in protein folding and chaperonin-containing T-complex, nucleus localization
FOG03400	HOG01227	CCT3	CCT3								Subunit of the cytosolic chaperonin Cct ring complex; related to Tcp1p, required for the assembly of actin and tubulins in vivo; capable of binding Q/N rich proteins and mediating their folding	chaperonin-containing T-complex gamma subunit Cct3	Ortholog(s) have role in cellular response to drug and chaperonin-containing T-complex, nucleus localization
FOG03401	HOG01227	CCT4	CCT4								Subunit of the cytosolic chaperonin Cct ring complex; related to Tcp1p, required for the assembly of actin and tubulins in vivo	chaperonin-containing T-complex delta subunit Cct4	Ortholog(s) have unfolded protein binding activity, role in protein folding and chaperonin-containing T-complex, nucleus localization
FOG03402	HOG01227	CCT5	CCT5								Subunit of the cytosolic chaperonin Cct ring complex; related to Tcp1p, required for the assembly of actin and tubulins in vivo	chaperonin-containing T-complex epsilon subunit Cct5	Ortholog(s) have chaperonin-containing T-complex localization
FOG03403	HOG01227	TCP1	TCP1								Alpha subunit of chaperonin-containing T-complex; complex mediates protein folding in the cytosol; involved in actin cytoskeleton maintenance; overexpression in neurons suppresses formation of pathogenic conformations of huntingtin protein	chaperonin-containing T-complex alpha subunit Cct1	Ortholog(s) have chaperonin-containing T-complex, nucleus localization
FOG03404	HOG01227	CCT7	CCT7								Subunit of the cytosolic chaperonin Cct ring complex; related to Tcp1p, required for the assembly of actin and tubulins in vivo; mutant has increased aneuploidy tolerance	chaperonin-containing T-complex eta subunit Cct7	Ortholog(s) have chaperonin-containing T-complex, nucleus localization
FOG03405	HOG01228	RPT3	RPT3								ATPase of the 19S regulatory particle of the 26S proteasome; one of ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; substrate of N-acetyltransferase B	19S proteasome regulatory subunit Rpt3 (predicted)	Ortholog(s) have role in positive regulation of RNA polymerase II transcriptional preinitiation complex assembly, proteasome regulatory particle assembly, ubiquitin-dependent protein catabolic process
