FOG	HOG	Parent	rgm	sai	spo	ncr	tre	ang	lst	yli	arx	nfu	aru	pta	ppa	kcp	car	opm	dbx	pme	pku	bin	mbi	mgu	dha	pic	spa	wan	cut	hva	kla	lth	zro	sce	vpo
FOG01620	HOG00677		rgm|A0A0N8PZV8;rgm|A0A0P9GXU4			ncr|Q7SEH2	tre|G0R6R4	ang|A2R685;ang|E2PT35	lst|A0A1E3Q6V4;lst|A0A1E3QEC0					pta|A0A1E4TVM4							pku|A0A099NUP3;pku|A0A099NYB3;pku|A0A099NYX9;pku|A0A099P0J1							wan|A0A1E3P046							
FOG01621	HOG00677		rgm|A0A194S4C3			ncr|Q7S9V5	tre|G0RLA2	ang|A2QIG7																											
FOG01622	HOG00677																																		vpo|A7TLR0;vpo|A7TSK5
FOG01623	HOG00677																																		vpo|A7TE14;vpo|A7TKT8
FOG01624	HOG00677							ang|A2QYN8	lst|A0A1E3QE47	yli|Q6CCS5	arx|A0A060TDP5	nfu|A0A1E3PFE1;nfu|A0A1E3PR80;nfu|A0A1E3PR90;nfu|A0A1E3PR99;nfu|A0A1E3PRJ1;nfu|A0A1E3PRR9;nfu|A0A1E3PSM7																							
FOG01625	HOG00678		rgm|A0A194SB54					ang|A2QH82																											
FOG01627	HOG00680		rgm|A0A194S1Z5	sai|UPI000867ACFF		ncr|V5IQA5;ncr|V5IRG7	tre|G0RPS4	ang|A2QY09	lst|A0A1E3QA89	yli|Q6C6R1	arx|A0A060T8P8	nfu|A0A1E3PNC1	aru|A0A1D2VFE7	pta|A0A1E4TQF8	ppa|C4R5Y8	kcp|W6MQC4	car|A0A1E4SX15	opm|W1QHW5	dbx|Dekbr2_25315	pme|A0A1E3NDL7	pku|A0A099NL78;pku|A0A099NT00	bin|A0A1E3QX98	mbi|A0A1A0H897	mgu|A5DIM8	dha|B5RUP2	pic|A3LWW1	spa|G3AG41	wan|A0A1E3NZF2	cut|A0A1E4RTP6			lth|C5DLH7	zro|C5E4X2	sce|P43619	vpo|A7TS64
FOG01628	HOG00681		rgm|A0A194S1T4	sai|UPI000866D7E1;sai|UPI000867AF11	spo|Q9UT53	ncr|Q1K610	tre|G0R6W3;tre|G0R775	ang|A2QWV6	lst|A0A1E3Q5L7	yli|Q6C4M1	arx|A0A060T8K3	nfu|A0A1E3PI83;nfu|A0A1E3PJR6	aru|A0A1D2V8Z5;aru|A0A1D2VJY7	pta|A0A1E4TTH1	ppa|C4QXP1	kcp|W6MQY1	car|A0A1E4T4K7	opm|W1QBH5	dbx|Dekbr2_51007	pme|A0A1E3NHI7	pku|A0A099P5I9	bin|A0A1E3QNG9	mbi|A0A1A0H7X3	mgu|A5DCZ1	dha|Q6BUD5	pic|A3GH11	spa|G3AJB6	wan|A0A1E3P0C3	cut|A0A1E4SAP3	hva|A0A1B7TCY9	kla|Q6CST4	lth|C5DI09	zro|C5E0A7	sce|P53204;sce|Q06178	vpo|A7TKV3
FOG01629	HOG00682			sai|UPI0008681230	spo|Q9P7T7	ncr|Q7SCF9	tre|G0RLG6	ang|A5AAM4	lst|A0A1E3Q5R8	yli|Q6CGG2	arx|A0A060TIM5	nfu|A0A1E3PF56	aru|A0A1D2VLL6	pta|A0A1E4TZT9		kcp|W6MKH2	car|A0A1E4T5P2	opm|W1QAE1	dbx|Dekbr2_42299	pme|A0A1E3NJM8		bin|A0A1E3QRD4	mbi|A0A1A0H251	mgu|A5DIT5	dha|Q6BP85	pic|A3GHV5	spa|G3ANA0	wan|A0A1E3P2A2	cut|A0A1E4S427	hva|A0A1B7TCI0		lth|C5DK15	zro|C5DZ40	sce|P25576	vpo|A7TFE3
FOG01630	HOG00683		rgm|A0A0N8PZX8	sai|UPI00086686AE	spo|O94323	ncr|Q7SI20	tre|G0R6Z2	ang|A2R5D3	lst|A0A1E3QB47	yli|Q6C6J4	arx|A0A060TA95	nfu|A0A1E3PFT7	aru|A0A1D2VL24	pta|A0A1E4TZ27	ppa|C4QWZ9	kcp|W6MGS5	car|A0A1E4SY61	opm|W1QHH1	dbx|Dekbr2_42069	pme|A0A1E3NLU8	pku|A0A099P361	bin|A0A1E3QJ01	mbi|A0A1A0HIM9	mgu|A5DKT7	dha|Q6BTN4	pic|A3LS92	spa|G3AE40	wan|A0A1E3P0P9	cut|A0A1E4S041		kla|Q6CX45		zro|C5E478	sce|P25353;sce|P39997	vpo|A7TLN6
FOG01631	HOG00684		rgm|A0A194SEY7	sai|UPI000867EEC6	spo|Q9Y7J0	ncr|Q7RZS1	tre|G0RQB4	ang|A2QUH6	lst|A0A1E3QGH2	yli|Q6C2F8	arx|A0A060TAZ8	nfu|A0A1E3PLR6		pta|A0A1E4TPH1		kcp|W6MPB9	car|A0A1E4SUQ8	opm|W1QA30	dbx|Dekbr2_29690	pme|A0A1E3NF44	pku|A0A099NUL4;pku|A0A099P8V3	bin|A0A1E3R0E0	mbi|A0A1A0HK79	mgu|A5DR67	dha|Q6BV93	pic|A3LT89	spa|G3AU79	wan|A0A1E3P005	cut|A0A1E4S719		kla|Q6CS84	lth|C5E2D9	zro|C5DU24	sce|P53164	vpo|A7TE83
FOG01632	HOG00685		rgm|A0A194S9M9		spo|Q9USS0	ncr|Q7SET3	tre|G0R8R6	ang|A2QP65		yli|Q6CG92	arx|A0A060TCR0	nfu|A0A1E3PTG4	aru|A0A1D2VNI6	pta|A0A1E4TZC5	ppa|C4R4B7	kcp|W6MGS7	car|A0A1E4SST6	opm|W1QCY8	dbx|Dekbr2_4872	pme|A0A1E3NMU5	pku|A0A099P0Z7	bin|A0A1E3QN67	mbi|A0A1A0H8S6	mgu|A5DQS2	dha|Q6BU52	pic|A3LY76	spa|G3AV91	wan|A0A1E3NUZ6	cut|A0A1E4S5Q0	hva|A0A1B7TIR6	kla|Q6CJ16	lth|C5E2Z6	zro|C5E029	sce|P53184	vpo|A7TLA3
FOG01633	HOG00686		rgm|A0A194S2R2	sai|UPI0008681388	spo|Q9UTK3	ncr|Q7SI03	tre|G0RNE8	ang|A2QYC6	lst|A0A1E3QF61	yli|Q6CG74	arx|A0A060T1N1	nfu|A0A1E3PPP3	aru|A0A1D2VCP2	pta|A0A1E4TTR2	ppa|C4R007	kcp|W6MUQ3	car|A0A1E4T5D8	opm|W1QKW9	dbx|Dekbr2_24068	pme|A0A1E3NT76	pku|A0A099NRN3;pku|A0A099P3A9	bin|A0A1E3QSB7	mbi|A0A1A0H1Z5	mgu|A5DLB7	dha|Q6BGU4	pic|A3LPI5	spa|G3AVV9	wan|A0A1E3NW13	cut|A0A1E4RVE9	hva|A0A1B7TH58	kla|Q6CRT2	lth|C5DEV3	zro|C5DXM2	sce|P39683	vpo|A7TKR5
FOG01634	HOG00687			sai|UPI000618F558		ncr|Q7S6J0	tre|G0RNI1	ang|A2R600			arx|A0A060TIL6			pta|A0A1E4TVB7		kcp|W6MHV7							mbi|A0A1A0HGM7	mgu|A5DPJ7	dha|Q6BR66	pic|A3LVJ6	spa|G3APN4								
FOG01635	HOG00688		rgm|A0A194SCU6	sai|UPI00086801E1	spo|Q9UT28	ncr|Q7S634		ang|A2QU63	lst|A0A1E3QDD7	yli|Q6CHE9	arx|A0A060T9P1	nfu|A0A1E3PN72	aru|A0A1D2VFM7	pta|A0A1E4U2Q6	ppa|C4R678	kcp|W6MQU4	car|A0A1E4T4L7	opm|W1Q8E0	dbx|Dekbr2_26575	pme|A0A1E3NHI4	pku|A0A099NIT8;pku|A0A099NRV4	bin|A0A1E3QXS7	mbi|A0A1A0H6A2	mgu|A5DAP7	dha|Q6BKI8	pic|A3M0C6	spa|G3AHX9	wan|A0A1E3P8L9	cut|A0A1E4S238	hva|A0A1B7TF25	kla|Q6CUI0	lth|C5DN91	zro|C5DWG0	sce|Q05874	vpo|A7TPD2
FOG01636	HOG00688															kcp|W6MQN0		opm|W1QI92	dbx|Dekbr2_40219	pme|A0A1E3NJP2	pku|A0A099NZ89														
FOG01637	HOG00689		rgm|A0A0P9ENG9	sai|UPI000867D56D	spo|Q9C0W1	ncr|V5IPL3;ncr|V5IR55	tre|G0RP46	ang|A2QJ49	lst|A0A1E3PYG0	yli|Q6CEL5	arx|A0A060T5Z5	nfu|A0A1E3PS13	aru|A0A1D2VG31	pta|A0A1E4U089	ppa|C4R222	kcp|W6MFC6	car|A0A1E4SZZ4	opm|W1Q7F3	dbx|Dekbr2_23820	pme|A0A1E3NHY8	pku|A0A099P4U5	bin|A0A1E3QXC1	mbi|A0A1A0H681	mgu|A5DAN2	dha|Q6BKK1	pic|A3M083	spa|G3AHT2	wan|A0A1E3P4Z1	cut|A0A1E4RXV9	hva|A0A1B7TBP6	kla|Q6CIS6	lth|C5DCS5	zro|C5DZQ0	sce|P53915	vpo|A7TGH4
FOG01638	HOG00690		rgm|A0A194SA00	sai|UPI000866D4F9;sai|UPI000867BD96	spo|Q09672	ncr|Q7S084	tre|G0RQ21	ang|A2QWY8	lst|A0A1E3Q848	yli|Q6CE35	arx|A0A060T9E1	nfu|A0A1E3PRL4	aru|A0A1D2VCB0	pta|A0A1E4TXQ2	ppa|C4R687	kcp|W6MWN0	car|A0A1E4T4J9	opm|W1Q8C1		pme|A0A1E3NPD0	pku|A0A099NZZ9	bin|A0A1E3QHK0	mbi|A0A1A0H5G5	mgu|A5DHH9	dha|Q6BIM6	pic|A3GFD5	spa|G3AGX6	wan|A0A1E3PCI5	cut|A0A1E4S5P6		kla|Q6CLY9	lth|C5DIL6	zro|C5DYQ5	sce|P38122	vpo|A7TTC6
FOG01639	HOG00691			sai|UPI000866AED1	spo|Q9HDU6			ang|A2QFV1;ang|A5ABP4;ang|E2PT19	lst|A0A1E3Q9L3	yli|Q6C0X8	arx|A0A060T6E4	nfu|A0A1E3PDL6;nfu|A0A1E3PNI2		pta|A0A1E4U1Q6	ppa|C4R807	kcp|W6MG03;kcp|W6MIK9	car|A0A1E4T094	opm|W1QEX9	dbx|Dekbr2_5031	pme|A0A1E3NS45	pku|A0A099P1B1	bin|A0A1E3QT27	mbi|A0A1A0H9E5	mgu|A5DM58	dha|Q6BI54	pic|A3LQL6	spa|G3ASS5	wan|A0A1E3P1B6	cut|A0A1E4SAI5	hva|A0A1B7TE86	kla|Q6CT82	lth|C5DKS7	zro|C5DU61	sce|P38787	vpo|A7THT2;vpo|A7TS34
FOG01640	HOG00691																											wan|A0A1E3P5E8	cut|A0A1E4S4N2		kla|Q6CQ98	lth|C5DKX6	zro|C5DT07	sce|P14905	vpo|A7TSU9
FOG01641	HOG00692		rgm|A0A0P9F8K7	sai|UPI000866BB41	spo|Q09673	ncr|Q7S8P2	tre|G0R8I4	ang|A2RA54	lst|A0A1E3QAG7	yli|Q6CFK9	arx|A0A060T1P9	nfu|A0A1E3PPJ1	aru|A0A1D2VDA2	pta|A0A1E4TV04	ppa|C4QXQ8	kcp|W6MPF0	car|A0A1E4SWG0	opm|W1QD30	dbx|Dekbr2_5609	pme|A0A1E3NDK6	pku|A0A099NWQ1	bin|A0A1E3QVG5	mbi|A0A1A0HB84	mgu|A5DQ96	dha|Q6BQ09	pic|A3LQZ2	spa|spa_AYbRAH_00105	wan|A0A1E3NV91	cut|A0A1E4RWB0		kla|Q6CNF4	lth|C5DH41	zro|C5DZS1	sce|P40459	vpo|A7TIT4
FOG01642	HOG00693		rgm|A0A194SAB2	sai|UPI000866F7BF	spo|O74962	ncr|Q7SEX7	tre|G0RAK2	ang|A2QF75	lst|A0A1E3Q5X3	yli|Q6C7T7	arx|A0A060TA74	nfu|A0A1E3PS69	aru|A0A1D2VKK4	pta|A0A1E4U1W2	ppa|C4QWS6	kcp|W6MW55	car|A0A1E4T688	opm|W1QAN9	dbx|Dekbr2_63619	pme|A0A1E3NI22	pku|A0A099P7A4	bin|A0A1E3QJB2	mbi|A0A1A0HCU0	mgu|A5DIS1	dha|Q6BXD4	pic|A3LRL5	spa|G3AUH9	wan|A0A1E3P2B6;wan|A0A1E3P3A2	cut|A0A1E4RY40	hva|A0A1B7TCF8	kla|Q6CV06	lth|C5DK06	zro|C5DZ49	sce|Q04430	vpo|A7TFD6
FOG01643	HOG00694		rgm|A0A194S7U5	sai|UPI000866F03E	spo|Q9USK7	ncr|V5IRB7	tre|G0RG01	ang|A2QF71	lst|A0A1E3QDM8	yli|Q6CCS2	arx|A0A060SX49	nfu|A0A1E3PKC4	aru|A0A1D2VED0		ppa|C4R2J0	kcp|kcp_AYbRAH_00043	car|A0A1E4SUF4	opm|W1QA69	dbx|Dekbr2_6350	pme|A0A1E3NG74	pku|A0A099P8X5	bin|A0A1E3QWM1	mbi|A0A1A0H6V8	mgu|A5DFE9	dha|Q6BYF6	pic|A3LPW9	spa|G3AR21	wan|A0A1E3P171	cut|A0A1E4S8K5	hva|A0A1B7TA17	kla|Q6CNZ5	lth|C5DMQ7	zro|C5DPD0	sce|P40506	vpo|A7TM09
FOG01644	HOG00695		rgm|A0A194S942			ncr|Q7RVD1	tre|G0RUQ1	ang|A2QHK1	lst|A0A1E3QGW2	yli|Q6C6T7	arx|A0A060THP6	nfu|A0A1E3PNX8	aru|A0A1D2VQE6;aru|A0A1D2VQR7	pta|A0A1E4TQT1	ppa|C4R193	kcp|W6MQS0	car|A0A1E4T4I1	opm|W1QBF6	dbx|Dekbr2_39010	pme|A0A1E3NQI4	pku|A0A099P264	bin|A0A1E3QH60	mbi|A0A1A0H9V3	mgu|A5DIZ7	dha|Q6BP16	pic|A3LXS0	spa|G3AJ13	wan|A0A1E3PCC3	cut|A0A1E4RTZ6	hva|A0A1B7TG93	kla|Q6CMR1	lth|C5DDH5	zro|C5E3W4	sce|P36076	vpo|A7TR58
FOG01645	HOG00695									yli|Q6CCV1	arx|A0A060TD17	nfu|A0A1E3PJQ1	aru|A0A1D2VRH6	pta|A0A1E4TPV8	ppa|C4R6A8	kcp|W6MY16	car|A0A1E4T6W1	opm|W1Q707	dbx|Dekbr2_22107	pme|A0A1E3NM01;pme|A0A1E3NNR9	pku|A0A099P7N5	bin|A0A1E3QTX0	mbi|A0A1A0HCX3	mgu|A5DBE1	dha|Q6BRI6	pic|A3LPZ1	spa|G3AR40	wan|A0A1E3PAM7	cut|A0A1E4S7G1	hva|A0A1B7TD71	kla|Q6CJS7	lth|C5DJL1	zro|C5DSD0	sce|P36024;sce|Q08438	vpo|A7TQ06;vpo|A7TT01
FOG01646	HOG00695																							mgu|A5DHI7	dha|B5RV59	pic|A3GFE8	spa|G3AGY6								
FOG01647	HOG00695		rgm|A0A194S2E6			ncr|Q7RZH3	tre|G0RQ10	ang|A2QWY0																											
FOG01648	HOG00696		rgm|A0A0P9EJ17	sai|UPI000618DEE5	spo|Q10350				lst|A0A1E3QAY8	yli|Q6C8I1	arx|A0A060TBI7	nfu|A0A1E3PRU6	aru|A0A1D2VIQ5;aru|A0A1D2VLI9	pta|A0A1E4TWQ5	ppa|C4R6M5	kcp|W6MXB4	car|A0A1E4T7M7	opm|W1Q905	dbx|Dekbr2_24009	pme|A0A1E3NKZ4	pku|A0A099P444	bin|A0A1E3QJ98	mbi|A0A1A0H8X6	mgu|A5DJV4	dha|Q6BU82	pic|A3LW57	spa|G3AM43	wan|A0A1E3NZ42	cut|A0A1E4RZQ9	hva|A0A1B7TJN4	kla|Q6CTB3	lth|C5DDB9	zro|C5DVI7	sce|P53332	vpo|A7TG36
FOG01649	HOG00696		rgm|A0A194S2H6	sai|UPI000618EEC5	spo|O94533	ncr|Q1K7E9	tre|G0R7A4	ang|A2R4F2	lst|A0A1E3Q619	yli|Q6CAY3	arx|A0A060T398	nfu|A0A1E3PPR4	aru|A0A1D2VK82	pta|A0A1E4TN03	ppa|C4R8W8	kcp|W6MJI6	car|A0A1E4T4Z7	opm|W1QIE3	dbx|Dekbr2_24181;dbx|Dekbr2_4888	pme|A0A1E3NMR9	pku|A0A099P5C9	bin|A0A1E3QJ51	mbi|A0A1A0HJ36	mgu|A5DLF2	dha|Q6BXG2	pic|A3GGE7	spa|G3AFW6	wan|A0A1E3PB18	cut|A0A1E4RXW2	hva|A0A1B7TEL5	kla|Q6CJ27	lth|C5DCB2	zro|C5E0C8	sce|P42935	vpo|A7TET0
FOG01650	HOG00697		rgm|A0A0P9FBM9	sai|UPI000866DDFA	spo|O74414	ncr|Q7RYT9	tre|G0RQB8	ang|A2QEI6	lst|A0A1E3Q9M9	yli|Q6C296	arx|A0A060T5H3	nfu|A0A1E3PE73	aru|A0A1D2VBG6	pta|A0A1E4U1R4	ppa|C4R809	kcp|W6MGH1	car|A0A1E4T237	opm|W1QAD9	dbx|Dekbr2_24558	pme|A0A1E3NJH1	pku|A0A099NWE5	bin|A0A1E3QR48	mbi|A0A1A0H913	mgu|A5DM57	dha|Q6BI55	pic|A3LQL5	spa|G3ASS4	wan|A0A1E3P5C3	cut|A0A1E4S4P1	hva|A0A1B7TEV4	kla|Q6CQ99	lth|C5DKX7	zro|C5DT06	sce|Q03941	vpo|A7TSU8
FOG01651	HOG00698				spo|G2TRL9					yli|Q6CEF4	arx|A0A060TGH8	nfu|A0A1E3PQJ1	aru|A0A1D2VQC0	pta|A0A1E4TU31	ppa|C4QVI0	kcp|W6MNR4	car|A0A1E4SYP9	opm|opm_AYbRAH_00149	dbx|Dekbr2_47112	pme|A0A1E3NQD4	pku|A0A099NPP8;pku|A0A099NR06	bin|A0A1E3QYC7	mbi|A0A1A0HAG9	mgu|A5DL89	dha|B5RUE3	pic|A3LQ83	spa|G3AS56	wan|A0A1E3PBS0	cut|A0A1E4RZD7		kla|Q6CKD9	lth|C5DEZ3	zro|C5DXR1	sce|Q12036	vpo|A7TKP0
FOG01652	HOG00699		rgm|A0A0P9H034	sai|UPI0008670629	spo|Q9UTE4	ncr|Q1K8F5	tre|G0RBW4	ang|A2QZ79	lst|A0A1E3Q342	yli|Q6C568	arx|A0A060TBH3	nfu|A0A1E3PN70		pta|A0A1E4TSB8	ppa|C4QYB3		car|A0A1E4T8E3	opm|W1QBN6	dbx|Dekbr2_6464	pme|A0A1E3NHC5	pku|A0A099NYM1	bin|A0A1E3QQC8	mbi|A0A1A0HI34	mgu|A5DL33	dha|Q6BMZ9	pic|A3LRB3	spa|G3AF98	wan|A0A1E3P222	cut|A0A1E4S8H7		kla|Q6CYH6	lth|C5DGH1	zro|C5DZB8	sce|Q03144	vpo|A7TQG1
FOG22491	HOG00699																																	sce|P53823	
FOG22492	HOG00699																																	sce|P43544	
FOG01653	HOG00700		rgm|A0A0P9EVD6	sai|UPI0008674829	spo|O14027	ncr|Q9C1K6	tre|G0RBW5	ang|A2QGS0	lst|A0A1E3Q610	yli|Q6CAU5	arx|A0A060THK3	nfu|A0A1E3PNL3		pta|A0A1E4TSE9	ppa|C4QYB4		car|A0A1E4T8G6	opm|W1QD01	dbx|Dekbr2_160317	pme|A0A1E3NH62	pku|A0A099NYC9	bin|A0A1E3QQB3	mbi|A0A1A0HII6	mgu|A5DL34	dha|Q6BMZ8	pic|A3LRB4	spa|G3AF97	wan|A0A1E3P2N1	cut|A0A1E4S8F5		kla|Q6CYH5	lth|C5DGH0	zro|C5DZB7	sce|Q03148	vpo|A7TQG0
FOG22493	HOG00700																																	sce|P53824	
FOG22494	HOG00700																																	sce|P43545	
FOG01654	HOG00701		rgm|A0A0P9EJD4	sai|UPI000618ED27	spo|O14242;spo|O74860	ncr|A7UXB4	tre|G0RCM7	ang|A2Q8P2	lst|A0A1E3QFM4	yli|Q6CHH8	arx|A0A060T476	nfu|A0A1E3PI50	aru|A0A1D2VF66	pta|A0A1E4TZ47	ppa|C4QXJ9	kcp|W6MJM5	car|A0A1E4T3F6	opm|W1QF27	dbx|Dekbr2_24331	pme|A0A1E3NL69	pku|A0A099P7H5	bin|A0A1E3QZL7	mbi|A0A1A0HJW1	mgu|A5DQK7	dha|Q6BQC0	pic|A3GFS4	spa|G3AGG2	wan|A0A1E3NXI2	cut|A0A1E4RWB3		kla|Q6CM76	lth|C5E3L6	zro|C5DXH0	sce|P39988	vpo|A7TP64
FOG01655	HOG00701												aru|A0A1D2VIF5	pta|A0A1E4TZN4	ppa|C4R063	kcp|W6MWJ8	car|A0A1E4T491	opm|W1QII9	dbx|Dekbr2_4387	pme|A0A1E3NMA1	pku|A0A099NZ78	bin|A0A1E3QXA3	mbi|A0A1A0HI32	mgu|A5DC89	dha|B5RUF0	pic|A3LV36	spa|G3AU16		cut|A0A1E4RY10	hva|A0A1B7TBD9	kla|Q6CU01	lth|C5DBZ5	zro|C5DVP5	sce|P53727	vpo|A7TG14
FOG01656	HOG00702		rgm|A0A0P9EJX3	sai|UPI0008678364	spo|Q9UTQ1	ncr|Q7S8J8	tre|G0R9X7	ang|A2R3E9	lst|A0A1E3QCJ1	yli|Q6C946	arx|A0A060THL3	nfu|A0A1E3PHQ8	aru|A0A1D2VBA1	pta|A0A1E4TX31	ppa|C4QX52	kcp|W6MN20	car|A0A1E4T3S1	opm|W1QEE8	dbx|Dekbr2_6623	pme|A0A1E3NKZ7	pku|A0A099P1D1	bin|A0A1E3QP21	mbi|A0A1A0HD06	mgu|A5DLS2	dha|Q6BL19	pic|A3M053	spa|G3AHQ0	wan|A0A1E3NXT4	cut|A0A1E4RV93	hva|A0A1B7TFL2;hva|A0A1B7TFN0	kla|Q6CW45	lth|C5DED3	zro|C5DPI9	sce|P38075	vpo|A7TN52
FOG01657	HOG00703		rgm|A0A194SB35		spo|O14125;spo|O14295;spo|O94521	ncr|Q7S1L2;ncr|Q7S2K8;ncr|Q7SHH4	tre|G0RDK0;tre|G0RVQ6	ang|A2QIH8;ang|A2QQD9;ang|A2QWC8;ang|A2R757	lst|A0A1E3PZR2;lst|A0A1E3Q0K6;lst|A0A1E3QAS4;lst|A0A1E3QDC3;lst|A0A1E3QGM0	yli|Q6C376	arx|A0A060TBK5	nfu|A0A1E3PMB9		pta|A0A1E4U0Z0	ppa|C4R885	kcp|W6MHT1	car|A0A1E4T351	opm|W1QGV4;opm|W1QJW4	dbx|Dekbr2_46726			bin|A0A1E3QN69	mbi|A0A1A0HFJ7	mgu|A5DEN8;mgu|A5DEN9;mgu|A5DR54	dha|Q6BZ94	pic|A3LTP4	spa|G3AEC2;spa|G3AJ53	wan|A0A1E3P3W1;wan|A0A1E3P4G8	cut|A0A1E4SAE2	hva|A0A1B7THE9	kla|Q6CVT1	lth|C5DFB5	zro|C5DT88	sce|Q06494	vpo|A7THK5
FOG01658	HOG00703		rgm|A0A0P9GXQ4;rgm|A0A194S4W8	sai|UPI00086815CA	spo|Q09923		tre|G0RF22;tre|G0RTT2	ang|A2QYV4;ang|A2R971	lst|A0A1E3PXB8;lst|A0A1E3PYY4;lst|A0A1E3Q215;lst|A0A1E3Q249																										
FOG01659	HOG00703						tre|G0RG55	ang|A2R5L9																											
FOG01660	HOG00703						tre|G0RTU9																												
FOG01661	HOG00704				spo|O94562	ncr|Q7SAN0	tre|G0RV51	ang|A2QA40		yli|Q6CCX7;yli|Q6CHH7		nfu|A0A1E3PFE2;nfu|A0A1E3PLB0;nfu|A0A1E3PME5	aru|A0A1D2VJP0;aru|A0A1D2VRE7	pta|A0A1E4TV43;pta|A0A1E4U2A6		kcp|W6MKP1;kcp|W6MLM2	car|A0A1E4SSL1;car|A0A1E4SSL8;car|A0A1E4STN6;car|A0A1E4STV3	opm|W1QHD1;opm|W1QL69	dbx|Dekbr2_47175	pme|A0A1E3NG29;pme|A0A1E3NM51	pku|A0A099NU12;pku|A0A099P5L1		mbi|A0A1A0H8F6	mgu|A5DF05;mgu|A5DKX0	dha|Q6BV34;dha|Q6BX22	pic|A3GGP3;pic|A3LRD4		wan|A0A1E3NZZ2;wan|A0A1E3P336	cut|A0A1E4RUC5;cut|A0A1E4RZP4	hva|A0A1B7TDG5;hva|A0A1B7TDL2;hva|A0A1B7TDQ3	kla|Q6CM88;kla|Q6CV52	lth|C5DES7;lth|C5DKE7;lth|C5E3Q7	zro|C5DQ39;zro|C5DUP2		
FOG01662	HOG00705											nfu|A0A1E3PFA8								pme|A0A1E3NCZ1	pku|A0A099P400				dha|B5RV04	pic|A3GF39	spa|G3AJ40	wan|A0A1E3NXC3	cut|A0A1E4RW48		kla|Q6CWZ0	lth|C5DH16;lth|C5DI57	zro|C5DP38;zro|C5DSH5;zro|C5E3U3	sce|P50277	
FOG01663	HOG00706											nfu|A0A1E3PFB6								pme|A0A1E3NFF3	pku|A0A099P3Z3				dha|Q6BGQ3	pic|A3M0N5	spa|G3AJ39	wan|A0A1E3NXW1	cut|A0A1E4RVW6		kla|Q6CWZ1	lth|C5DH15	zro|C5DP37;zro|C5DSH6;zro|C5E3U4	sce|P53630	
FOG01664	HOG00707		rgm|A0A194SAC0	sai|UPI00086696E2	spo|O59778	ncr|Q7RXK2	tre|G0RPB7	ang|A2R4Y1	lst|A0A1E3Q8K8	yli|Q6C903	arx|A0A060T3W8	nfu|A0A1E3PN82	aru|A0A1D2VD76	pta|A0A1E4TRB4	ppa|C4QV32	kcp|W6MHW4	car|A0A1E4T2D2		dbx|Dekbr2_25870;dbx|Dekbr2_26319	pme|A0A1E3NMT7	pku|A0A099P2X5	bin|A0A1E3QK42	mbi|A0A1A0HCT6	mgu|A5DC16	dha|Q6BX74	pic|A3LS81	spa|G3AE22	wan|A0A1E3NV04	cut|A0A1E4S8N7		kla|Q6CXS8	lth|C5DKK4	zro|C5DUX9	sce|P32451	
FOG01665	HOG00708		rgm|A0A194S3Y3	sai|UPI000618E89C	spo|O14353	ncr|Q7S6S3	tre|G0RIF1	ang|A2R8A1	lst|A0A1E3QD95	yli|Q6C416	arx|A0A060TDA3	nfu|A0A1E3PL45	aru|A0A1D2VFJ3	pta|A0A1E4TPY2	ppa|C4R4Y1	kcp|W6MK89	car|A0A1E4T1K8	opm|W1Q7P6	dbx|Dekbr2_66714	pme|A0A1E3NSB9	pku|A0A099P6E1	bin|A0A1E3QQ86	mbi|A0A1A0HGD9	mgu|A5DCV9	dha|Q6BXZ2	pic|A3GID1	spa|G3AIA1	wan|A0A1E3PA30	cut|A0A1E4S2L0	hva|A0A1B7TBM7;hva|Hanva1_1_53370	kla|Q6CL80	lth|C5E244	zro|C5DXL1	sce|P48445	vpo|A7TPB6
FOG01666	HOG00709		rgm|A0A0P9F9G5	sai|UPI000866AF06	spo|Q4LB35	ncr|F5HHZ0	tre|G0RAZ6	ang|A2R801	lst|A0A1E3PZ72	yli|Q6CI15	arx|A0A060T7D9	nfu|A0A1E3PNA3	aru|A0A1D2VH47	pta|A0A1E4TTW0	ppa|C4R281	kcp|W6MP58	car|A0A1E4T1L9	opm|W1Q7M1	dbx|Dekbr2_6668	pme|A0A1E3NKF7	pku|A0A099P1V3	bin|A0A1E3QRQ8	mbi|A0A1A0HJE9	mgu|A5DJC9	dha|Q6BPQ3	pic|A3LZB4	spa|G3ANI5	wan|A0A1E3P1Z1	cut|A0A1E4S458	hva|A0A1B7TIU3	kla|Q6CUR8	lth|C5DK98	zro|C5DYW0	sce|P53848	vpo|A7TF52
